"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"soirée";0,042;0,353;0,59;0,46;0,6;0,509
"nouveau";0,071;0,46;0;0,438;0,235;0,166
"facebook";0,097;0;0,3;0,155;0,329;0,203
"annonce";0,114;0,034;0,017;0,635;0,39;0,226
"émission";0,782;0,242;0,954;0,137;0;0,184
"us";0,257;0,34;0,486;0,774;0,247;0,393
"univers";0,052;0,4;0,225;0,008;0,014;0,137
"nasa";0,061;0,57;0,241;0;0,052;0,855
"vérité";0,071;0,946;0,259;0,121;0;0,166
"nufo";0,134;0;0,349;0,199;0,12;0,251
"instagram";0,134;0;0,349;0,199;0,12;0,251
"halloween";0,319;0,011;0,533;0,593;0,301;0,445
"enfant";0,061;0,224;0,825;0,108;0,001;0,151
"zone";0,368;0,741;0;0,155;0,085;0,203
"twitter";0,134;0;0,349;0,199;0,464;0,251
"temps";0,114;0,347;0,209;0;0,101;0,226
"nteaser";0,319;0;0,533;0,393;0,301;0,445
"mars";0,88;0,937;0,241;0;0,199;0,151
"homme";0,061;0,043;0,241;0;0,007;0,151
"extraire";0,071;0,052;0,887;0,121;0;0,166
"terre";0,083;0,062;0,278;0;0,71;0,184
"r";0,99;0;0,323;0,175;0,101;0,226
"premier";0,601;0,854;0,377;0,006;0,553;0,279
"planète";0,319;0,202;0,259;0,002;0,616;0,166
"partir";0,083;0,242;0,278;0,137;0,072;0
"média";0,083;0,242;0,278;0,137;0;0,184
"venir";0,134;0,995;0,806;0,199;0,001;0,251
"témoignage";0,208;0,128;0,711;0,821;0,25;0,279
"rencontre";0,001;0,062;0,278;0,496;0,291;0,184
