"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"raconter";-2,6557;0,4362;-0,2111;-0,0963;2,1181;-0,4016;-0,0258
"année";-5,0314;5,8774;0,2497;-0,1639;-0,3813;-0,6834;-0,0438
"plateau";-4,5536;-2,8773;-0,2605;-0,1188;10,0958;-0,4955;-0,0318
"réveiller";24,7447;-3,4228;-0,3099;-0,1413;-12,929;-0,5894;-0,0378
"anne";-2,7054;-1,7095;-0,1548;-0,0706;5,9973;-0,2944;-0,0189
"question";-3,814;-0,2202;-0,2182;-0,0995;3,4168;-0,415;-0,0266
"long";-0,8773;1,9376;-0,0914;-0,0417;-0,3975;-0,1739;-0,0112
"présentation";-2,09;0,2649;-0,1196;-0,0545;1,8744;-0,2274;-0,0146
"nasa";-0,974;-0,2279;-0,0985;-0,0449;1,3025;-0,1873;-0,012
"yves";-2,2131;-0,7424;-0,1266;-0,0577;3,682;-0,2408;-0,0155
"théâtre";-1,4749;0,216;-0,0844;-0,0385;1,4782;-0,1605;-0,0103
"chose";-0,3312;-0,8543;1,8923;-0,0353;-0,3894;1,3761;-0,0094
"olivier";-1,3745;-0,3811;-0,1266;-0,0577;2,0742;-0,2408;-0,0155
"claviere";-1,8439;-1,1652;-0,1055;-0,0481;4,0873;-0,2007;-0,0129
"figure";11,8862;-0,5973;-0,2111;-0,0963;-8,4237;-0,4016;-0,0258
"patron";-0,5353;-1,0875;-0,0985;-0,0449;1,8972;-0,1873;-0,012
"fédération";-1,3519;-0,8543;-0,0774;-0,0353;2,9966;-0,1471;-0,0094
"nuit";-0,6892;0,2528;-0,0774;-0,0353;0,4479;0,5416;-0,0094
"permettre";-1,5811;1,4704;-0,1407;-0,0642;0,2716;0,3372;-0,0172
"tsoukalos";-2,2131;14,1788;-0,1266;-0,0577;-5,9803;-0,2408;-0,0155
"polémiste";-1,7209;-1,0875;-0,0985;-0,0449;3,8146;-0,1873;-0,012
"galley";-1,229;-0,7766;-0,0703;-0,0321;2,724;-0,1337;-0,0086
