"";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"présenter";0;0;3,14;0;4,63;0;0;0;0;4,38;1,66;0,36;1,27;0;3,72;0,47;1,15;0;2,34;0,72;2,6;1,11;0,59;0,19;0;0,96;0;0,56
"chaîne";0;0;0;0;0;0;0;0;0;0,88;0;0;0;0;0,99;0,47;0;0;0;0;0,65;0;0;0;0;0,6;0;0,42
"an";0;0;0;0;6,94;0;0;0;0;0,88;3,33;3,93;2,55;0;1,24;1,41;2,3;3,53;5,63;0;0,65;6,12;0,59;0,19;1,66;0,12;0,36;0,56
"au";0;0;6,29;8,47;9,26;0;5,97;0;16,67;5,25;9,98;8,21;8,91;9,15;4,46;3,28;8,28;7,06;5,16;5,05;5,86;7,24;3,36;1,35;7,74;3,25;1,43;2,95
"spatial";0;0;0;0;0;0;2,99;0;0;0;0;0;0;0;0,74;0,94;0,92;0;0;1,44;0;0,56;0;0,19;0;0,24;0,12;0,28
"écrivain";0;0;0;0;16,2;0;0;0;0;0;0;0;0;4,57;0,25;0;0;0;0;0;0;1,11;0;2,12;0;0,24;0;0,14
"terre";0;0;3,14;12,71;4,63;0;1,49;0;8,33;0;3,33;0,36;1,91;6,1;1,73;9,38;0,92;5,3;1,41;2,16;0,65;4,45;0,99;0,77;1,66;1,69;1,79;3,37
"tv";0;0;0;0;0;0;0;0;0;0;0;0;0,64;1,52;0,5;0;0,23;0;0;0;0;0;0,79;0;0,55;0,24;0;0,28
"criminalité";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,69;4,9;0
"projet";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,99;0;0;0;0;0;0,65;0;0;0;1,11;0,12;0;0,42
"retourner";0;0;0;0;0;0;1,49;0;0;0;0;1,07;0;0;0;0;0,46;0;0;0;0;0;0;0;0;0;0,24;0,28
"sans";0;0;0;0;2,31;0;1,49;0;0;1,75;0;0,71;1,91;1,52;0,74;0,94;1,15;0;0,47;1,44;0,65;2,23;0,39;0,38;0,55;0,36;0,6;0,14
"animer";0;0;0;0;0;0;0;0;0;2,63;0;0;0;0;0,25;0;0;0;0;0;0;0,56;0,79;0;0;0;0,12;0
"christophe";0;0;0;0;0;0;0;0;0;0;0;0;0;1,52;0,25;0;0,46;0;0;0;0,65;0;0,59;8,27;0,55;0,12;0;0,14
"espace";0;0;0;4,24;0;0;13,43;0;0;0,88;0;0;0,64;0;0;3,75;2,76;0;0;4,33;0;0;0;0;0;0,6;0,12;1,12
"vie";0;0;3,14;4,24;2,31;0;0;0;0;0,88;0;0,71;3,18;3,05;0,99;1,41;1,38;0,88;8,91;0;1,3;2,23;2,17;1,54;3,87;2,65;0,48;2,39
"mort";0;0;0;0;0;0;0;0;0;0;0;0;0,64;1,52;0,5;0,94;0;0;0,47;0;2,6;0;0;0,19;0,55;0,24;0,12;0
"teen";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,23;0;0;0;0;0;5,53;0;1,11;3,97;4,9;0
"tester";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,94;0;0,65;0,56;0,2;0;0;0,6;0;0
"science";0;0;0;0;0;0;0;0;0;0;0;0;0,64;0;0,25;0,94;0;0;0,47;0;0;0;0;0,19;0,55;0;0;0,84
"information";0;0;0;0;0;0;0;0;0;0;0;0,71;0,64;0;0,25;0;0;0;0,47;0;0;0,56;0,2;0;0,55;0,24;0;1,41
"notre";0;0;0;4,24;0;0;0;0;8,33;0;0;0;1,27;0;0;7,03;0;0;1,41;0;2,6;0,56;1,18;0,19;0;0,84;0;1,41
"débat";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,34;3,75;0,19;0,55;0,48;0,12;0,28
"signe";0;0;0;0;0;0;0;0;0;0;1,66;1,43;0,64;0;0,5;0;0;0;0;0,72;0;0;0;0;0,55;0;0;0,14
"visuel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,56;1,58;3,27;1,11;0,36;0;0
"boucherie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,97;0;0;0;0;0
"personne";6,62;0;0;0;2,31;5;1,49;0;0;0;0;0,71;0,64;0;0,99;0,94;0,46;0;0,94;4,33;0,65;0;0,39;0,19;0,55;0;0;1,27
"recette";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0,92;0;0,94;0;1,3;1,11;0,2;0;0;0;0;0,14
"comprendre";0;0;0;0;0;5;0;0;0;0;0;1,78;0;0;0,74;0,47;0;0;2,81;2,16;1,95;1,11;2,96;0,58;0;0,12;0,24;0,56
"jusqu_à";0;0;0;0;0;0;0;0;0;0;0;1,07;0;0;0,25;0;0,46;0,88;0;0,72;0;0;0,2;0;0;0,12;0,12;0,14
"jeu";0;0;18,87;0;0;5;0;0;0;0;0;0;2,55;0;0,5;0;1,15;0,88;0;0;0,65;0;0,2;0,19;0;0,12;0;0
"avec";6,62;0;3,14;8,47;4,63;0;2,99;0;0;19,26;8,32;6,42;6,37;12,2;4,71;5,16;8,74;9,71;10,31;2,16;8,46;10,58;14,81;3,85;7,74;9,27;11,36;2,81
"contre";0;16,39;0;0;0;0;2,99;0;0;0;0;2,14;1,91;4,57;1,24;0,47;0,46;0,88;0,47;0,72;0,65;0;1,78;0,38;0;2,05;5,02;0,14
"diffusion";0;0;0;0;0;0;0;0;0;3,5;0;0,36;0;0;0,25;0,47;0,92;0;0;0;0;0;0;0;0;0;0;0
"dernier";0;0;0;0;0;0;0;0;0;0,88;3,33;1,43;1,27;1,52;0,5;1,41;1,61;0,88;0;0;0,65;1,11;0,99;0,38;0,55;0,72;0;1,55
"leçon";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0,72;0;0,56;0;0,38;0;0;0;1,12
"grandir";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,88;0;0;0;2,76;0;1,11;2,89;4,9;0,14
"plan";0;0;0;0;0;0;0;0;0;0,88;0;0,71;1,91;0;1,24;0;0;0,88;0,47;0;0;0,56;0,2;0;1,11;0,24;0,6;0,28
"toujours";0;0;0;0;0;0;1,49;0;0;0;0;1,78;1,27;6,1;0,99;0,94;0,46;1,77;0,47;0;2,6;0;0,2;0,38;0,55;0,72;0,12;0,14
"ahmed";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,41
"secte";0;0;0;0;0;0;0;0;0;0;0;2,14;0;0;2,23;0;0;0;0;0;0;0;0;0;0;0;0;0
"croire";0;0;0;4,24;0;5;0;0;0;0;0;1,07;0,64;3,05;0,25;0;0,23;1,77;0,94;0;3,25;0;0,59;0;0,55;0;0,36;0,28
"ses";0;0;0;4,24;0;0;10,45;0;0;3,5;1,66;7,49;10,18;4,57;3,47;1,41;2,53;7,06;5,63;5,05;0;3,34;10,47;1,15;6,08;10,47;15,9;0,42
"notamment";0;0;0;0;0;0;0;0;0;0;3,33;0;0;0;0,25;0;0,46;0;0;0;0;0,56;0,2;0;0,55;0,12;0;0,28
"europe";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47;0;0;0;0;0;0,56;0,59;0,58;0;0,6;0;0,28
