"";"";"";"";"mohammed";""
"150";"remplacer";"0.273493987718405";"-0.473982986062532";"0.829594805061608";"388"
"151";"psychiatre";"0.264311146279215";"-0.562278792557211";"0.829594805061608";"389"
"152";"visite";"0.269119918884313";"-0.564532665153918";"0.829239973102249";"390"
"153";"édition";"0.297711967523221";"-0.469275164751134";"0.829178104965745";"391"
"154";"musical";"0.297711967523221";"-0.469275164751134";"0.829178104965745";"392"
"155";"rubrique";"0.297711967523221";"-0.469275164751134";"0.829178104965745";"393"
"156";"jamy";"0.297711967523221";"-0.469275164751134";"0.829178104965745";"394"
"157";"gourmaud";"0.297711967523221";"-0.469275164751134";"0.829178104965745";"395"
"158";"cinéma";"0.297711967523221";"-0.469275164751134";"0.829178104965745";"396"
"159";"christelle";"0.297711967523221";"-0.469275164751134";"0.829178104965745";"397"
"160";"ballestrero";"0.297711967523221";"-0.469275164751134";"0.829178104965745";"398"
"161";"adamo";"0.297711967523221";"-0.469275164751134";"0.829178104965745";"399"
"162";"astrophysicien";"0.283655783093484";"-0.565656637914802";"0.82916536740823";"400"
