"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_Gulli";"*chaine_M6";"*chaine_NRJ12";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1"
"magazine";0;0;1;1;6;0;0;3;0;0;0;0;0;0;0
"lieu";1;0;0;0;3;2;0;0;3;1;0;0;0;1;4
"batman";0;0;0;0;0;0;49;0;0;0;0;0;0;0;1
"mystérieux";0;0;0;0;2;2;0;0;0;0;1;0;2;11;1
"petit";0;0;0;1;20;14;156;8;0;4;0;0;0;0;13
"décider";0;0;0;0;3;1;0;0;2;3;3;0;0;0;5
"handicapé";0;0;0;0;11;0;0;0;0;0;0;0;0;0;0
"corbière";0;0;13;0;0;0;0;0;0;0;0;0;0;0;0
"dieu";0;0;0;0;0;0;0;0;0;0;0;0;2;10;2
"mazaurette";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"laure";0;0;0;0;1;0;0;0;0;0;0;0;0;0;11
"ville";0;1;0;0;2;2;1;1;1;1;1;0;0;2;1
"etats";0;1;0;1;2;1;0;0;3;0;0;0;1;2;2
"père";0;0;0;0;5;2;0;2;0;0;3;0;0;0;4
"margot";0;0;0;11;0;0;0;0;0;0;0;0;0;0;0
"équipe";0;0;1;0;2;3;0;1;1;1;2;0;0;1;3
"clair";2;0;0;1;1;4;0;0;0;0;0;0;0;0;2
"spécialiste";0;13;0;0;8;0;0;1;0;1;0;0;2;0;2
"police";0;0;29;0;3;0;0;0;0;0;0;0;0;0;1
"main";0;1;0;0;1;6;0;0;0;0;0;0;0;0;2
"ancien";0;1;35;0;7;3;23;3;0;1;0;4;7;61;6
"agir";0;0;0;0;1;4;3;1;0;1;0;0;1;4;3
"ministre";0;0;7;0;2;0;0;1;0;0;0;0;0;2;0
"chanson";0;0;0;0;7;3;0;0;0;3;0;0;0;0;1
"trace";0;4;0;0;2;1;0;0;0;0;0;0;0;2;1
"extraire";0;0;6;4;7;1;0;12;0;4;0;0;0;0;26
"aventure";0;0;0;0;4;0;103;0;0;0;0;0;0;0;0
"nouveau";0;3;2;5;12;4;1;4;3;3;42;0;1;11;2
"débarquer";0;0;0;0;1;6;1;0;0;1;0;0;0;0;2
"parent";0;0;0;3;16;2;26;1;0;1;0;0;0;0;1
"jt";0;0;7;0;0;0;0;6;0;0;0;0;0;0;1
"lopez";0;0;14;0;0;0;0;2;0;0;0;0;0;0;0
"rugby";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
"côté";0;1;1;0;3;5;26;0;1;1;0;0;0;2;5
"capable";0;0;0;0;0;3;2;0;0;0;0;0;0;5;0
"mars";0;0;1;0;8;0;1;1;0;0;0;0;1;0;2
"delage";0;0;13;0;0;0;0;0;0;0;0;0;0;0;0
"starfire";0;0;0;0;0;0;26;0;0;0;0;0;0;0;0
"new_yorkais";0;0;0;1;0;0;0;0;0;0;42;0;0;0;0
"davant";0;0;0;0;10;0;0;0;0;0;0;0;0;0;0
"mot";0;0;0;0;2;3;0;3;0;2;0;0;0;1;0
"christine";0;0;12;0;1;0;0;0;0;0;0;0;0;0;0
"titan";0;0;0;0;0;0;52;0;0;0;0;0;0;0;0
"rappeler";0;0;1;0;6;0;1;0;0;1;1;0;0;1;2
"ex_membre";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
"fils";0;0;0;0;1;0;0;1;0;2;3;0;0;0;3
"citation";0;1;26;1;0;0;0;0;0;0;0;0;0;0;0
"film";0;0;0;2;21;7;0;0;0;3;0;0;0;1;11
"important";0;0;0;0;4;0;0;1;0;0;0;0;0;5;1
"revenir";0;0;1;3;5;3;0;0;0;1;0;0;0;10;4
"révéler";0;0;1;0;1;4;0;0;0;0;0;1;0;10;1
"public";0;1;0;0;8;1;0;1;0;0;0;0;0;1;2
"agathe";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
"récit";0;0;0;1;1;0;0;0;0;0;0;0;1;6;1
"csa";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
"rapport";0;0;0;0;1;0;0;0;0;0;0;0;0;4;2
"etienne";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"association";0;0;0;0;7;1;0;2;0;0;0;0;0;0;1
"porte";0;1;15;0;2;0;0;1;0;0;0;0;0;2;1
"président";0;1;12;0;4;0;0;2;0;0;0;0;0;1;1
"troisième";0;0;15;1;0;1;0;0;0;0;0;0;0;0;1
"cirque";0;0;1;0;2;0;26;0;0;0;0;0;0;0;0
"travail";0;0;2;0;4;2;0;0;0;0;0;0;0;0;2
"pari";0;1;1;1;12;0;0;0;0;0;0;0;0;0;1
"part";0;1;1;0;3;4;0;1;0;1;0;1;0;0;1
