"";"*anneedediff_1995";"*anneedediff_1996";"*anneedediff_1997";"*anneedediff_1998";"*anneedediff_1999";"*anneedediff_2000";"*anneedediff_2001";"*anneedediff_2002";"*anneedediff_2004";"*anneedediff_2005";"*anneedediff_2006";"*anneedediff_2007";"*anneedediff_2008";"*anneedediff_2009";"*anneedediff_2010";"*anneedediff_2011";"*anneedediff_2012";"*anneedediff_2013";"*anneedediff_2014";"*anneedediff_2015";"*anneedediff_2016";"*anneedediff_2017";"*anneedediff_2018";"*anneedediff_2019";"*anneedediff_2020";"*anneedediff_2021";"*anneedediff_2022";"*anneedediff_2023"
"tester";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;0;5;0;0
"science";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;1;0;0;0;0;1;1;0;0;6
"information";0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;1;0;0;1;1;0;1;2;0;10
"notre";0;0;0;1;0;0;0;0;2;0;0;0;2;0;0;15;0;0;3;0;4;1;6;1;0;7;0;10
"débat";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;19;1;1;4;1;2
"signe";0;0;0;0;0;0;0;0;0;0;1;4;1;0;2;0;0;0;0;1;0;0;0;0;1;0;0;1
"visuel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;17;2;3;0;0
"boucherie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0
"personne";1;0;0;0;1;1;1;0;0;0;0;2;1;0;4;2;2;0;2;6;1;0;2;1;1;0;0;9
"recette";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;2;2;1;0;0;0;0;1
"comprendre";0;0;0;0;0;1;0;0;0;0;0;5;0;0;3;1;0;0;6;3;3;2;15;3;0;1;2;4
"jusqu_à";0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;2;1;0;1;0;0;1;0;0;1;1;1
"jeu";0;0;6;0;0;1;0;0;0;0;0;0;4;0;2;0;5;1;0;0;1;0;1;1;0;1;0;0
"avec";1;0;1;2;2;0;2;0;0;22;5;18;10;8;19;11;38;11;22;3;13;19;75;20;14;77;95;20
"contre";0;1;0;0;0;0;2;0;0;0;0;6;3;3;5;1;2;1;1;1;1;0;9;2;0;17;42;1
"diffusion";0;0;0;0;0;0;0;0;0;4;0;1;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0
"dernier";0;0;0;0;0;0;0;0;0;1;2;4;2;1;2;3;7;1;0;0;1;2;5;2;1;6;0;11
"leçon";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;2;0;0;0;8
"grandir";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;14;0;2;24;41;1
"plan";0;0;0;0;0;0;0;0;0;1;0;2;3;0;5;0;0;1;1;0;0;1;1;0;2;2;5;2
"toujours";0;0;0;0;0;0;1;0;0;0;0;5;2;4;4;2;2;2;1;0;4;0;1;2;1;6;1;1
"ahmed";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
"secte";0;0;0;0;0;0;0;0;0;0;0;6;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
"croire";0;0;0;1;0;1;0;0;0;0;0;3;1;2;1;0;1;2;2;0;5;0;3;0;1;0;3;2
"ses";0;0;0;1;0;0;7;0;0;4;1;21;16;3;14;3;11;8;12;7;0;6;53;6;11;87;133;3
"notamment";0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;2;0;0;0;0;1;1;0;1;1;0;2
"europe";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3;3;0;5;0;2
"incident";0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;1;0;0;0;79;0;0;1;2
"recherche";0;0;0;0;1;0;2;0;0;1;1;5;1;0;4;2;1;1;0;1;0;0;2;3;11;17;2;4
"garçon";0;0;0;0;0;0;0;0;0;5;0;2;5;0;4;0;1;2;1;0;0;1;0;0;1;1;0;0
"environnement";0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;23;0;0;2;2;0;0;0;0;0;0;0
