"";"banalfreq";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX"
"revue";10;-0,0123;-0,114;-0,3137;0,4764;1,0316;0,2415;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;1,9434;-0,1738;-0,0385;-0,0336;-0,0654;-0,5597;-0,4032;-0,0098
"peu";13;1,4418;-0,1483;0,2153;0,3868;0,6935;1,0763;-0,8387;-0,2232;-0,0814;-0,0064;-0,1458;0,4404;-0,2259;-0,0501;-0,0437;-0,0851;-0,7276;-0,1691;-0,0128
"celui";10;-0,0123;-0,114;-0,3137;-0,1765;1,6409;0,2415;-0,6452;-0,1717;0,8723;-0,0049;0,643;-0,442;-0,1738;1,0709;-0,0336;-0,0654;-0,5597;0,2184;-0,0098
"envoyer";13;-0,016;-0,1483;-0,4079;-0,2294;0,3616;-0,1474;0,2572;0,3959;-0,0814;-0,0064;-0,1458;0,4404;0,3919;-0,0501;-0,0437;0,7499;-0,7276;0,4914;-0,0128
"alain";13;-0,016;-0,1483;-0,4079;0,3868;1,1404;1,0763;-0,8387;1,906;-0,0814;-0,0064;-0,1458;-0,5747;-0,2259;-0,0501;-0,0437;-0,0851;-0,7276;-0,1691;-0,0128
"différents";14;-0,0172;0,512;0,1963;-0,2471;1,5305;0,4963;-0,9033;-0,2404;-0,0876;-0,0069;-0,157;-0,6189;-0,2433;-0,054;-0,047;0,7209;-0,7836;0,9162;-0,0138
"arriver";16;-0,0197;-0,1825;-0,502;-0,2824;1,2468;1,438;-1,0323;-0,2748;0,6863;-0,0079;0,4706;-0,2736;0,3253;-0,0617;-0,0538;-0,1047;-0,3902;-0,2374;-0,0157
"tourner";10;-0,0123;-0,114;-0,3137;0,4764;0,2433;0,712;-0,6452;0,486;-0,0626;-0,0049;-0,1121;1,1891;-0,1738;-0,0385;-0,0336;-0,0654;-0,5597;0,2184;-0,0098
"matin";12;-0,0148;-0,1369;-0,3765;-0,2118;1,2825;-0,4441;-0,7742;0,4227;-0,0751;-0,0059;-0,1345;0,9885;-0,2085;-0,0463;-0,0403;-0,0785;-0,6716;1,0781;-0,0118
"long";13;-0,016;-0,1483;-0,4079;0,3868;0,6935;-0,4811;-0,8387;-0,2232;-0,0814;-0,0064;-0,1458;-0,5747;-0,2259;0,9626;-0,0437;1,8068;1,206;-0,1691;-0,0128
"présentation";17;-0,0209;1,1514;-0,1766;0,302;1,6189;-0,2291;-1,0969;0,8562;-0,1064;-0,0084;-0,1906;0,6514;-0,2955;-0,0655;-0,0571;-0,1112;-0,9515;-0,6855;-0,0167
"théâtre";12;-0,0148;-0,1369;0,2367;-0,2118;1,8987;0,1936;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;-0,1714;-0,2085;0,9955;-0,0403;-0,0785;0,3611;-0,4839;-0,0118
"nuit";11;-0,0135;-0,1254;-0,3451;-0,1941;0,486;0,2159;-0,2685;-0,1889;-0,0688;-0,0054;0,6069;-0,148;-0,1912;-0,0424;-0,037;0,8161;-0,2154;0,5945;-0,0108
"permettre";20;-0,0246;-0,2281;0,3862;0,2546;0,8413;-0,2963;-0,6668;0,2624;-0,1252;-0,0098;-0,2243;-0,8842;-0,3476;-0,0771;1,9891;0,5847;0,6645;-0,3372;-0,0197
"xavier";10;-0,0123;0,6365;-0,3137;-0,1765;0,2433;-0,3701;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;1,9434;-0,1738;-0,0385;-0,0336;-0,0654;-0,5597;1,284;-0,0098
"marier";15;-0,0185;-0,1711;-0,4707;-0,2647;1,9525;-0,1869;-0,9678;0,3493;0,7113;-0,0074;-0,1682;0,3629;-0,2607;-0,0578;-0,0504;-0,0981;-0,8396;0,8474;-0,0148
"préparer";10;-0,0123;-0,114;-0,3137;-0,1765;0,5657;0,2415;-0,6452;1,26;-0,0626;-0,0049;-0,1121;-0,442;-0,1738;1,0709;-0,0336;-0,0654;-0,1839;0,2184;1,6497
"mère";10;-0,0123;-0,114;-0,3137;-0,1765;1,0316;-0,3701;-0,6452;0,486;-0,0626;-0,0049;-0,1121;0,5997;-0,1738;-0,0385;-0,0336;-0,0654;-0,5597;1,284;-0,0098
"décrire";12;-0,0148;-0,1369;-0,3765;0,4135;-0,2085;1,164;-0,3085;-0,2061;-0,0751;-0,0059;-0,1345;0,4867;-0,2085;-0,0463;-0,0403;-0,0785;0,3611;-0,1479;-0,0118
