"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX"
"archive";0;0;0;2,03;0;0,99;0;0;0;0;0;0,28;0;0;0;0;0;1,52;0
"sujet";0;0;1,93;1,35;1,03;0,33;0;2,08;0;0;0;2,51;0;0;0;0;0;1,22;0
"zone";0;1,04;0;0;0,44;0,33;0;0;0;0;0;1,11;0;0;0;0;0,45;0;0
"donner";0;1,04;0;2,71;2,06;0,66;0;0,69;9,42;23,81;2,11;0;0;0;0;0;0,67;1,52;0
"quelques";0;0;0;0,68;1,62;1,98;0;1,39;0;0;0;0;0;0;0;0;0,67;0,3;0
"urgentiste";0;0;4,25;0;0;0;0;0;0;0;0;0,28;0;0;0;0;0;0;0
"ciel";0;0;0;0,68;0,44;0,33;0,2;1,39;1,88;0;0;0;0;0;0;0;3,79;0,61;0
"cas";0;7,28;0,39;0;0,59;1,98;0;0;0;0;0;2,51;0;0;0;1,8;0,45;0,61;0
"discussion";0;0;3,48;0;0;0;0;0;0;0;0;1,11;0;0;0;0;0;0,61;0
"cours";0;0;0;0;1,18;0,33;0,2;1,39;0;0;0;0;0;0;0;0;0,67;1,22;0
"découvrir";0;0;0;0,68;1,32;2,64;0,2;0,69;0;23,81;5,29;0;0;6,1;3,5;0;2,45;1,82;0
"forme";0;0;0,39;0,68;1,03;0,66;0;0,69;3,77;0;1,06;0;0;0;0;1,8;3,12;0,3;0
"nom";0;1,04;0;0;0,15;0,33;0;0;0;0;0;0,28;0;0;0;0;0,89;0,61;0
"non";0;1,04;0,39;4,06;0,44;0,66;0;0,69;0;0;2,11;0,28;0;0;0;0;2,45;1,22;0
"nos";0;0;0,39;0;1,18;0,66;0;1,39;0;0;0;0;0;0;3,5;0;0,67;0;0
"en";28,57;20,79;0,77;16,91;27,81;21,77;1,76;26,41;16,95;47,62;14,8;19,21;31,59;15,24;10,49;5,41;12,48;20,05;0
"ex";0;0;4,25;0;0,15;0;0;0;0;0;0;1,67;2,06;0;0;0;0;0;0
"et";19,05;32,22;24,35;31,12;34,87;33,31;32,4;31,27;60,26;23,81;34,88;15,03;21,98;24,39;24,48;21,62;21,84;28,87;35,71
