"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"question";0;2,69;0;0;3,74;0;0
"long";0,27;3,23;0;0;0,86;0;0
"présentation";0;1,61;0;0;2,01;0;0
"nasa";0,27;1,08;0;0;1,58;0;0
"yves";0;0,54;0;0;2,45;0;0
"théâtre";0;1,08;0;0;1,44;0;0
"chose";0,55;0;11,17;0;0,72;5,73;0
"olivier";0,27;1,08;0;0;2,16;0;0
"lrem";0;0;0;0;2,45;0;0
"claviere";0;0;0;0;2,16;0;0
"figure";7,1;1,61;0;0;0,14;0;0
"patron";0,55;0;0;0;1,73;0;0
"fédération";0;0;0;0;1,58;0;0
"watrin";0;0;0;0;1,58;0;0
"nuit";0,27;1,08;0;0;1,01;2,87;0
"permettre";0,27;3,77;0;0;1,58;2,87;0
"tsoukalos";0;9,69;0;0;0;0;0
"polémiste";0;0;0;0;2,01;0;0
"galley";0;0;0;0;1,44;0;0
"pomart";0;0;0;0;2,16;0;0
"chalumeau";0;0;0;0;6,91;0;0
"xavier";0;0;16,76;0;0,86;0;43,48
"rendre";1,91;4,31;33,52;0;2,3;17,19;0
"partie";0;4,31;0;11,9;1,58;0;0
"partir";0,55;2,69;5,59;0;2,45;2,87;0
"marier";0,27;0,54;11,17;0;1,58;0;0
"joe";0;0;0;0;2,16;0;0
"disciple";6,28;0;0;0;0;0;0
"préparer";0;0,54;0;11,9;1,15;0;0
"mère";0;0,54;11,17;0;0,58;8,6;0
"américain";0,27;6,46;0;0;2,73;0;0
"conquérant";7,1;0;0;0;0;0;0
"série";7,1;0,54;0;0;1,58;2,87;0
"val";0;0;0;0;2,3;0;0
"humain";1,09;8,61;22,35;0;1,44;11,46;0
"courant";0;0;0;0;1,73;0;0
"décrire";0;1,08;0;0;1,44;0;0
"fantôme";0;1,08;0;0;1,3;0;0
