"V1";"V2";"V3";"V4";"V5";"V6"
" 4";" 8";" 50.00";"  5.71";"homme";"1.684059e-02"
" 4";" 8";" 50.00";"  5.71";"mystérieux";"1.684059e-02"
" 4";" 8";" 50.00";"  5.71";"étrange";"1.684059e-02"
" 2";" 3";" 66.67";"  4.90";"p";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"épisode";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"propos";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"bellanca";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"extra_terrestre";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"devenir";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"base";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"bande";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"inconnu";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"chose";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"minute";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"interview";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"faux";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"armée";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"air";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"étudier";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"vraiment";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"visiteur";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"tueur";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"thomas";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"mentir";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"long";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"jeune";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"igor";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"groupe";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"grichka";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"forme";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"expert";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"donner";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"corps";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"bogdanov";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"autorité";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"atterrissage";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"agir";"2.683880e-02"
" 2";" 3";" 66.67";"  4.90";"action";"2.683880e-02"
" 3";" 6";" 50.00";"  4.27";"énigme";"3.875170e-02"
" 3";" 6";" 50.00";"  4.27";"enquête";"3.875170e-02"
" 3";" 6";" 50.00";"  4.27";"changer";"3.875170e-02"
" 3";" 7";" 42.86";"  3.02";"planète";"8.223110e-02"
" 3";" 7";" 42.86";"  3.02";"expérience";"8.223110e-02"
" 3";" 7";" 42.86";"  3.02";"info";"8.223110e-02"
" 2";" 4";" 50.00";"  2.84";"r";"9.198874e-02"
" 2";" 4";" 50.00";"  2.84";"média";"9.198874e-02"
" 2";" 4";" 50.00";"  2.84";"témoignage";"9.198874e-02"
" 2";" 4";" 50.00";"  2.84";"spécialiste";"9.198874e-02"
" 2";" 4";" 50.00";"  2.84";"retour";"9.198874e-02"
" 2";" 4";" 50.00";"  2.84";"scientifique";"9.198874e-02"
" 2";" 4";" 50.00";"  2.84";"projet";"9.198874e-02"
" 2";" 4";" 50.00";"  2.84";"mer";"9.198874e-02"
" 2";" 4";" 50.00";"  2.84";"animal";"9.198874e-02"
" 5";"15";" 33.33";"  2.51";"phénomène";"1.129397e-01"
"*****";"*";"*";"*";"*";"*"
"35";" 55";" 63.64";"85.76";"d";"2.027896e-20"
"16";" 17";" 94.12";"69.24";"point";"8.710597e-17"
"23";" 33";" 69.70";"63.69";"une";"1.456262e-15"
"13";" 17";" 76.47";"40.91";"que";"1.594912e-10"
"12";" 15";" 80.00";"40.45";"nous";"2.018852e-10"
"10";" 12";" 83.33";"35.76";"ils";"2.234450e-09"
"25";" 53";" 47.17";"33.79";"être";"6.150211e-09"
" 7";"  7";"100.00";"32.58";"2019";"1.145517e-08"
" 7";"  7";"100.00";"32.58";"2018";"1.145517e-08"
" 8";"  9";" 88.89";"31.42";"comment";"2.081251e-08"
" 6";"  6";"100.00";"27.88";"19";"1.290067e-07"
"12";" 19";" 63.16";"27.40";"au";"1.654486e-07"
" 8";" 10";" 80.00";"26.76";"très";"2.303167e-07"
